objectid,facil_id,instit_id,facil_name,facil_addr,grade_leve,grade_org,facil_tele,zipcode,tencode,st_code,facil_type,instit_typ,enrollment,active,cartodb_id,created_at,updated_at,longitude_0,latitude_0,geojson
322,226519022_2,226519022,St Monica Senior,2500 S 16TH ST,Elementary School,K-8,215-467-5338,19145,8810002500,88100,School,Archdiocese,613,O,195,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.174397776555,39.9193149668886,"{""type"":""Point"",""coordinates"":[-75.1744,39.91931]}"
323,226519502_2,226519502,St William's Jr. H.s.,6201 Rising Sun Ave,,6-8,215-342-3369,19111,6860006201,68600,School,Archdiocese,0,2,196,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0972450603669,40.0471920662915,"{""type"":""Point"",""coordinates"":[-75.09725,40.04719]}"
324,226514102,226514102,Mercy Vocational Hs,2901 W Allegheny Ave,High School,9-12,215-226-1225,19129,1206002901,12060,School,Archdiocese,403,O,197,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1775340443509,40.0051708082392,"{""type"":""Point"",""coordinates"":[-75.17753,40.00517]}"
325,226518902,226518902,St. Mary's Interparochial School,233-247 S  05TH            ST,Elementary School,K-8,215-923-7522,19106,8790000233,87900,School,Archdiocese,241,O,198,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1496105480885,39.9460431556673,"{""type"":""Point"",""coordinates"":[-75.14961,39.94604]}"
326,226511302,226511302,Delasalle In Town,25 S Van Pelt St,,Vo-Tech,215-567-5500,19103,7976000025,79760,School,Archdiocese,0,O,199,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1759384994057,39.9530213154253,"{""type"":""Point"",""coordinates"":[-75.17594,39.95302]}"
327,226516502,226516502,St. Bartholomew,3320  Harbison   Ave,Elementary School,pre K-8,215-744-6393,19124,4044003320,40440,School,Archdiocese,0,C,200,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0664544546371,40.0178597114409,"{""type"":""Point"",""coordinates"":[-75.06645,40.01786]}"
328,3399,W99B,Sankofa Freedom Academy Charter School,401 E  ROOSEVELT   BLV,Elementary School,9-11,,19120,6922000401,69220,School,Charter,0,O,201,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1159362345395,40.0273958579213,"{""type"":""Point"",""coordinates"":[-75.11594,40.0274]}"
329,226512302,226512302,Holy Name Of Jesus,700-12  GAUL   ST,Elementary School,pre K-8,215-423-3334,19125,3642000700,36420,School,Archdiocese,221,C,202,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.127551069738,39.9754113243953,"{""type"":""Point"",""coordinates"":[-75.12755,39.97541]}"
330,226518572,226518572,St. Lucy,144-46   Green La,Elementary School,K-8,215-482-6578,19127,3838000144,38380,School,Archdiocese,179,C,203,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2258239375377,40.0282480209514,"{""type"":""Point"",""coordinates"":[-75.22582,40.02825]}"
331,226518272,226518272,St. Josaphat,137 Grape St,Elementary School,K-8,215-482-0285,19127,2530000124,25300,School,Archdiocese,217,C,204,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2217219148011,40.0263805431211,"{""type"":""Point"",""coordinates"":[-75.22172,40.02638]}"
