RACK_TYPE,BIKE_COUNT,LAT,LNG
Staple or Inverted-U,4.0,39.9560421625,-75.1763804039
Staple or Inverted-U,8.0,39.9559579367,-75.1762124441
Staple or Inverted-U,4.0,39.955972096,-75.1762591481
Converted Parking Meter,6.0,39.9557037962,-75.1763074699
Converted Parking Meter,2.0,39.9546983991,-75.1764112366
Converted Parking Meter,0.0,39.9543750557,-75.1765366399
Converted Parking Meter,2.0,39.9543606494,-75.1766447661
Converted Parking Meter,2.0,39.9542019403,-75.1765356266
Converted Parking Meter,2.0,39.9542180772,-75.1766658343
Converted Parking Meter,4.0,39.954193015,-75.1772996386
Converted Parking Meter,2.0,39.9541672188,-75.1774907965
Converted Parking Meter,2.0,39.9540517082,-75.1771902335
Staple or Inverted-U,2.0,39.9542670601,-75.1781681192
Staple or Inverted-U,8.0,39.9541385386,-75.1779805469
Converted Parking Meter,8.0,39.9542870312,-75.1784004379
Converted Parking Meter,2.0,39.9542124255,-75.1786851007
Converted Parking Meter,2.0,39.9542780995,-75.1790889701
Converted Parking Meter,2.0,39.9543756808,-75.1791735992
Staple or Inverted-U,2.0,39.9543995374,-75.1794176056
Staple or Inverted-U,2.0,39.9543569456,-75.1707461299
Staple or Inverted-U,2.0,39.954394885,-75.1709491353
Converted Parking Meter,2.0,39.9543969715,-75.171041986
Converted Parking Meter,2.0,39.9544084479,-75.1711282845
Staple or Inverted-U,2.0,39.9544244091,-75.1712020226
Staple or Inverted-U,2.0,39.9544309821,-75.1712823127
Converted Parking Meter,2.0,39.9542262662,-75.170447519
Converted Parking Meter,2.0,39.9543110518,-75.1712496926
Staple or Inverted-U,2.0,39.9543081297,-75.1711197019
Converted Parking Meter,2.0,39.9542787437,-75.1708730044
Staple or Inverted-U,2.0,39.9542609731,-75.1707187958
Staple or Inverted-U,2.0,39.9542248743,-75.1703856184
Converted Parking Meter,2.0,39.9542129807,-75.1702807502
Staple or Inverted-U,2.0,39.9542020605,-75.1702192113
Converted Parking Meter,2.0,39.9542009469,-75.1701696916
Staple or Inverted-U,2.0,39.9541946524,-75.1701017814
Staple or Inverted-U,2.0,39.9541838713,-75.170046433
Staple or Inverted-U,2.0,39.9541710725,-75.1699013296
Staple or Inverted-U,4.0,39.9541276718,-75.1696675555
Converted Parking Meter,2.0,39.9539920618,-75.1685141838
Staple or Inverted-U,2.0,39.9539299089,-75.1680828749
Converted Parking Meter,2.0,39.9538925485,-75.1676939906
Converted Parking Meter,2.0,39.9538707062,-75.1675709155
Converted Parking Meter,2.0,39.9538731014,-75.1674655039
Staple or Inverted-U,2.0,39.9538575559,-75.1674103373
