FID,DC_NUM,DC_KEY,LOCATION_B,THEFT_DATE,THEFT_YEAR,DC_DIST,STOLEN_VAL,THEFT_HOUR,UCR,X,Y,GlobalID,x2,y2
683,062038,201403062038,300 BLOCK SHUNK ST,10/15/2014 12:00:00 AM,2014,03,180,17,625,-75.15320684,39.91581609,6001ff5c-ae73-4f61-b91e-3ec08e0a1524,-119.635349589849,45.7900030251252
684,101579,201422101579,1400 BLOCK DIAMOND ST,12/8/2014 12:00:00 AM,2014,22,50,9,625,-75.15775736,39.98484024,6b8acf27-cd62-46a7-9c94-40fb6eac3d14,-119.654981038691,45.8137140753842
685,062400,201403062400,S 08TH ST / LEAGUE ST,10/17/2014 12:00:00 AM,2014,03,200,2,615,-75.15680426,39.93637092,df33a197-1df5-4451-a80b-5fc3f9d55738,-119.642058911118,45.7967505574849
686,001249,201518001249,100 BLOCK S 39TH ST,1/7/2015 12:00:00 AM,2015,18,300,12,615,-75.20015335,39.95408449,fa0383ff-2825-4b10-81b5-645ab489d92f,-119.663399752265,45.796977569544
687,001709,201518001709,3600 BLOCK CHESTNUT ST,1/9/2015 12:00:00 AM,2015,18,1000,15,615,-75.19453793,39.95463889,4fe75846-8b76-476f-82d9-5365ca4ac6da,-119.661373125859,45.7979529913564
688,062511,201403062511,100 BLOCK MORRIS ST,10/17/2014 12:00:00 AM,2014,03,500,14,615,-75.14835648,39.92664018,e29fe9e3-d7be-45b0-87d4-901d7e3ab325,-119.636275392803,45.7944922887342
689,063107,201403063107,900 BLOCK S ALDER ST,10/19/2014 12:00:00 AM,2014,03,600,11,615,-75.15985559,39.93923027,959e89aa-687e-48e8-a2d5-3948bd76fbf7,-119.643978450073,45.797335193626
690,000189,201522000189,1200 BLOCK CECIL B MOORE AV,1/1/2015 12:00:00 AM,2015,22,100,14,625,-75.15421123,39.97814006,8a58a1ea-7344-4c90-a66b-ed36ae64e1d7,-119.651873832364,45.8118426030656
691,063514,201403063514,900 BLOCK S BROAD ST,10/21/2014 12:00:00 AM,2014,03,225,10,615,-75.16628636,39.93949206,4c308dab-6228-43f2-a889-d88bd50e7491,-119.646531792284,45.7965346878799
692,000166,201525000166,2800 BLOCK N 07TH ST,1/1/2015 12:00:00 AM,2015,25,153,16,625,-75.1433032,39.99521389,36aee0d3-c9b2-491d-b3c0-6128efbfa421,-119.652081576648,45.8193814428534
693,003040,201501003040,1800 BLOCK S 17TH ST,1/27/2015 12:00:00 AM,2015,01,100,12,625,-75.17393516,39.92745478,d3a993a7-95d1-497f-bd01-5d2f54cb3035,-119.646372236874,45.7912285499989
